AuthorID;PhenotypeID
43014;22823140
38077;61343700
45286;69071528
74285;84620935
68276;66343093
70579;46418896
60789;90489166
76931;22019582
63001;30699419
84958;26660137
26709;14853137
78815;21999144
19302;61139509
52871;71027622
13317;39265766
33926;45750508
84107;64677045
15022;94358019
49236;92329877
10408;82978845
68825;10883487
31022;81332561
52871;78917329
27458;71922760
75315;60902695
46045;43006844
67841;27002870
32134;6050536
28869;86055965
56854;2582184
68276;70662917
98321;99876461
27014;73795156
29865;92316341
86609;3436156
70741;34115401
49957;99447307
14134;12798764
16428;16372195
20222;32099150
77862;93801161
78295;4998708
86406;37138825
44793;36012421
78036;24103076
26295;54497411
95814;23675378
34574;33924088
63561;75695762
42218;90268597
82264;95608480
18798;26167729
21539;98111640
11884;6985433
13738;29430161
57051;18949459
59537;80760247
42013;66729271
12874;11379545
84675;60928987
53024;82517449
76320;35298223
50994;53873109
68043;59040089
57978;47594046
20957;95119431
33525;88873765
96018;98797541
45726;11155524
78815;49262226
68043;28230804
62754;13892267
34696;98473553
59938;26816415
91108;62948921
65986;29373761
14134;43937582
97720;82045910
12888;1324527
50952;62994015
46635;15540134
45613;77167969
59489;81865634
13782;98797541
81798;27606998
98634;39651254
91108;52252592
85356;99332108
15912;75590355
27762;98473553
20812;23675378
38681;66975468
99784;8250238
22250;48149250
20553;61733127
45841;37720157
17094;1525338
26870;73381794
48707;18926850
28988;95090287
68431;82735533
88779;67172629
71532;24668015
90556;99148785
57214;78692988
13317;6050536
82402;79169530
14134;50404821
32791;1525338
62448;10779488
79576;33974145
25225;15012367
78649;60952318
99049;31770034
11553;95090287
87645;54192036
68849;40193968
21450;57335107
93332;12656478
53172;15012367
51669;6907359
46811;79193027
49428;42506697
27513;71138349
39064;78138777
19187;96735215
38681;39364193
97412;93144918
52522;81661455
22439;17685763
36074;4932504
43036;67551805
84579;52259700
57978;86268559
80135;65720675
36453;38564411
66091;66799088
43635;49652250
28258;30065808
83554;72517817
46045;77167969
10325;51828952
25830;56718483
96474;39209288
96085;12277982
81807;97100516
13255;17795807
47546;97626479
43698;17548326
16438;47156013
25840;26479533
13136;54314461
66187;95090287
29242;41480688
71444;94094448
24631;75884098
33525;57151335
47494;19222186
53721;37778872
47180;60952318
51084;49388415
40502;93061961
95663;89314216
17094;78416543
34027;28673223
77533;59246109
22252;96735215
29381;60523698
36759;88012661
11044;30065808
69223;87905053
33152;13892267
83810;27938808
87896;59246109
45974;70636470
26611;52875660
52871;32938402
45841;91697155
79644;56718483
67157;70248928
65956;69279476
78063;54033538
53375;39558574
25425;17631842
58491;54356705
23119;15012367
80197;71593595
38077;70908870
48707;6310117
67507;62479070
78386;96873137
78386;33545177
13738;90189480
98626;28061888
32062;63591518
28802;1324527
90454;28268735
97720;50663800
86325;5934699
56519;81332561
48707;73960066
85894;1525338
94752;57525161
94624;49085491
43635;98827157
32074;88795948
28161;8284399
34933;46581193
93050;62096981
17060;76339899
33525;11155524
35163;8802516
25523;67667953
